Movie,Release Date,Theatrical Distributor,MPAA(Motion Picure)Rating,Total Gross,Inflation-Adjusted Gross,Genre
Appaloosa,19-Sep-08,Warner Bros.,R,"$20,211,394.00","$25,806,031 ",Western
All the Pretty Horses,22-Dec-00,Miramax,PG-13,"$15,527,125.00","$25,776,219 ",Western
American Outlaws,17-Aug-01,Warner Bros.,PG-13,"$13,264,986.00","$21,491,151 ",Western
Tall Tale,24-Mar-95,Walt Disney,PG,"$8,247,627.00","$17,386,375 ",Western
Last of the Dogmen,8-Sep-95,Savoy,PG,"$7,008,542.00","$14,774,328 ",Western
News of the World,25-Dec-20,Universal,PG-13,"$12,668,325.00","$12,668,327 ",Western
The Beguiled,23-Jun-17,Focus Features,R,"$10,576,669.00","$10,812,485 ",Western
Justin Bieber: Never Say Never,11-Feb-11,Paramount Pictures,G,"$73,013,910.00","$84,430,969 ",Concert
Hannah Montana and Miley Cyrus: …,1-Feb-08,Walt Disney,G,"$65,281,781.00","$83,375,199 ",Concert
The Original Kings of Comedy,18-Aug-00,Paramount Pictures,R,"$38,168,022.00","$64,935,200 ",Concert
Kevin Hart: Let Me Explain,3-Jul-13,Lionsgate,R,"$32,244,051.00","$36,368,743 ",Concert
One Direction: This is Us,30-Aug-13,Sony Pictures,PG,"$28,873,374.00","$32,566,888 ",Concert
Martin Lawrence Live: RunTelDat,2-Aug-02,Paramount Pictures,R,"$19,184,820.00","$30,279,652 ",Concert
Katy Perry: Part of Me,5-Jul-12,Paramount Pictures,PG,"$25,326,071.00","$29,175,886 ",Concert
Kevin Hart: What Now?,14-Oct-16,Universal,R,"$23,591,043.00","$25,009,231 ",Concert
Jonas Brothers: The 3D Concert E…,27-Feb-09,Walt Disney,G,"$19,162,740.00","$23,429,643 ",Concert
U2 3D,23-Jan-08,National Geograph…,G,"$12,898,847.00","$16,132,543 ",Concert
Glee: The 3D Concert Movie,12-Aug-11,20th Century Fox,PG,"$11,862,398.00","$13,717,302 ",Concert
Christmas with the Chosen: The M…,1-Dec-21,Fathom Events,Not Rated,"$13,388,000.00","$13,388,000 ",Concert
Kevin Hart: Laugh at My Pain,9-Sep-11,Codeblack Enterta…,R,"$7,706,436.00","$8,911,470 ",Concert
BTS Permission to Dance on Stage…,12-Mar-22,Trafalgar Releasing,Not Rated,"$6,840,000.00","$6,840,000 ",Concert
Metallica Through the Never,27-Sep-13,Picturehouse,R,"$3,419,967.00","$3,857,452 ",Concert
The Met: Live in HD - Aida,15-Dec-12,NCM Fathom,Not Rated,"$2,800,000.00","$3,225,621 ",Concert
The Fluffy Movie,25-Jul-14,Open Road,PG-13,"$2,827,393.00","$3,173,462 ",Concert
N'sync: Bigger than Live,9-Feb-01,Really Big Film C…,Not Rated,"$1,808,679.00","$2,925,285 ",Concert
Mayweather vs. McGregor,26-Aug-17,Fathom Events,Not Rated,"$2,620,183.00","$2,678,603 ",Concert
Neil Young: Heart of Gold,10-Feb-06,Paramount Vantage,PG,"$1,828,069.00","$2,559,292 ",Concert
George Balanchine's The Nutcracker,13-Dec-11,NCM Fathom,G,"$2,119,994.00","$2,119,994 ",Concert
I'm the One That I Want,4-Aug-00,Cho Taussig Prods.,Not Rated,"$1,210,967.00","$2,017,088 ",Concert
Sarah Silverman: Jesus is Magic,11-Nov-05,IDP/Goldwyn/Roadside,Not Rated,"$1,324,244.00","$1,889,075 ",Concert
The Met: Live in HD - Manon Lescaut,5-Mar-16,Not Rated,Not Rated,"$1,876,402.00","$1,770,000 ",Concert
The Met: Live in HD - Madama But…,2-Apr-16,Fathom Events,Not Rated,"$1,700,900.00","$1,803,143 ",Concert
Grindhouse,6-Apr-07,Weinstein/Dimension,R,"$25,031,037.00","$33,362,587 ",Multiple Genre
2019 Oscar Shorts,8-Feb-19,ShortsHD,Not Rated,"$3,531,093.00","$3,534,943 ",Multiple Genre
2018 Oscar Shorts,9-Feb-18,ShortsHD,Not Rated,"$3,508,777.00","$3,531,881 ",Multiple Genre
2020 Oscar Shorts,29-Jan-20,ShortsHD,Not Rated,"$3,304,748.00","$3,304,748 ",Multiple Genre
Saving Christmas,14-Nov-14,Samuel Goldwyn Films,PG,"$2,778,297.00","$3,118,350 ",Multiple Genre
2016 Oscar Shorts,29-Jan-16,ShortsHD,Not Rated,"$2,816,816.00","$2,986,146 ",Multiple Genre
2017 Oscar Shorts,10-Feb-17,ShortsHD,Not Rated,"$2,835,355.00","$2,898,573 ",Multiple Genre
2014 Oscar Shorts,31-Jan-14,ShortsHD,Not Rated,"$2,357,890.00","$2,646,490 ",Multiple Genre
2015 Oscar Shorts,30-Jan-15,ShortsHD,Not Rated,"$2,412,493.00","$2,624,261 ",Multiple Genre
2013 Oscar Shorts,1-Feb-13,Shorts International,Not Rated,"$2,142,342.00","$2,416,387 ",Multiple Genre
2012 Oscar Shorts,10-Feb-12,Shorts International,Not Rated,"$1,702,415.00","$1,961,197 ",Multiple Genre
2022 Oscar Shorts,25-Feb-22,ShortsHD,Not Rated,"$1,801,646.00","$1,801,646 ",Multiple Genre
The Stray,6-Oct-17,Purdie Distribution,PG,"$1,579,440.00","$1,614,654 ",Multiple Genre
2011 Oscar Shorts,11-Feb-11,Shorts International,Not Rated,"$1,352,152.00","$1,563,577 ",Multiple Genre
Andhadhun,5-Oct-18,Eros Entertainment,Not Rated,"$1,193,049.00","$1,200,903 ",Multiple Genre
2010 Oscar Shorts,19-Feb-10,Shorts International,Not Rated,"$1,018,169.00","$1,183,343 ",Multiple Genre
Kurosawa & Mifune Festival,26-Jul-02,Cowboy Pictures,Not Rated,"$583,712.00","$910,223 ",Multiple Genre
Viva Pedro,11-Aug-06,Sony Pictures Cla…,Not Rated,"$579,539.00","$811,352 ",Multiple Genre
2009 Oscar Shorts,6-Feb-09,Shorts International,Not Rated,"$644,635.00","$788,171 ",Multiple Genre
A Collection of 2007 Academy Awa…,15-Feb-08,Magnolia Pictures,PG-13,"$508,695.00","$649,676 ",Multiple Genre
The Animation Show,5-Sep-03,The Animation Sho…,R,"$343,071.00","$520,095 ",Multiple Genre
2006 Academy Award Nominated Sho…,16-Feb-07,Magnolia Pictures,Not Rated,"$335,090.00","$446,616 ",Multiple Genre
2021 Oscar Shorts,2-Apr-21,ShortsHD,Not Rated,"$443,050.00","$443,050 ",Multiple Genre
Chico & Rita,10-Feb-12,GKIDS,Not Rated,"$197,785.00","$227,847 ",Multiple Genre
The 2005 Academy Award Nominated…,24-Feb-06,Magnolia Pictures,Not Rated,"$157,415.00","$220,373 ",Multiple Genre
jackass forever,4-Feb-22,Paramount Pictures,R,"$57,743,451.00","$57,743,451 ",Reality
Benpao Ba! Xiongdi,30-Jan-15,China Lion Film D…,Not Rated,"$309,297.00","$336,447 ",Reality
Pyaar Ka Punchnama 2,16-Oct-15,Reliance Entertai…,Not Rated,"$222,856.00","$242,418 ",Reality
The Principle,24-Oct-14,Rocky Mountain Pi…,PG,"$89,543.00","$97,972 ",Reality
Holy Ghost,5-Sep-14,Not Available,Not Rated,$0.00,$0 ,Reality
"St. Patrick""s Day",18-Dec-20,Self Distributed,Not Rated,$260.00,$260 ,Educational
